Labels,Suffixes
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,e
2,de
2,den
2,in
2,i
2,-
2,"i,ne"
2,"i,nde"
2,"i,nden"
2,Imp+in
2,"i,ni"
2,-
2,"i,ne"
2,"i,nde"
2,"i,nden"
2,Imp+in
2,"i,ni"
0,-
2,"ler,im,e"
0,"ler,im,de"
2,"ler,im,den"
2,"ler,im,in"
2,"ler,im,i"
0,"ler,im"
2,"ler,i,ne"
2,"leri,nde"
2,"ler,i,nden"
2,"ler,i,nin"
0,"ler,i,ni"
2,"ler,in"
2,"ler,i,ne"
2,"leri,nde"
2,"ler,i,nden"
2,"ler,i,nin"
0,"ler,i,ni"
2,"ler,i"
2,e
2,de
2,den
2,in
2,i
2,-
2,"i,ne"
2,"i,nde"
2,"i,nden"
2,Imp+in
2,"i,ni"
2,-
2,"i,ne"
2,"i,nde"
2,"i,nden"
2,Imp+in
2,"i,ni"
0,-
2,"ler,im,e"
0,"ler,im,de"
2,"ler,im,den"
2,"ler,im,in"
2,"ler,im,i"
0,"ler,im"
2,"ler,i,ne"
2,"leri,nde"
2,"ler,i,nden"
2,"ler,i,nin"
0,"ler,i,ni"
2,"ler,in"
2,"ler,i,ne"
2,"leri,nde"
2,"ler,i,nden"
2,"ler,i,nin"
0,"ler,i,ni"
2,"ler,i"
2,"im,e"
2,"im,de"
2,"im,den"
2,"im,in"
2,"im,i"
2,im
2,"i,ne"
2,"i,nde"
2,"i,nden"
2,"i,nin"
2,"i,ni"
2,in
2,"i,ne"
2,"i,nde"
2,"i,nden"
2,"i,nin"
2,"i,ni"
2,i
2,"ler,im,e"
2,"ler,im,de"
2,"ler,im,den"
2,"ler,im,in"
2,"ler,im,i"
2,"ler,im"
2,"ler,i,ne"
2,"leri,nde"
2,"ler,i,nden"
2,"ler,i,nin"
2,"ler,i,ni"
2,"ler,in"
2,"ler,i,ne"
2,"leri,nde"
2,"ler,i,nden"
2,"ler,i,nin"
2,"ler,i,ni"
2,"ler,i"
0,a
0,da
0,dan
0,ın
0,ı
0,-
0,a
0,Imp+ın
0,-
0,"ım,a"
0,"ım,da"
0,"ım,dan"
0,"ım,ın"
0,"ım,ı"
0,ım
0,"ı,na"
0,"ı,nda"
0,"ı,ndan"
0,"ı,nın"
0,"ı,nı"
0,-
2,"sı,na"
2,"sı,nda"
2,"sı,ndan"
1,"sı,nın"
1,"sı,nı"
2,sı
1,"lar,ım,a"
0,"lar,ım,da"
0,"lar,ım,dan"
0,"lar,ım,ın"
0,"lar,ım,ı"
0,"lar,ım"
0,"lar,ı,na"
0,"ları,nda"
0,"lar,ı,ndan"
0,"lar,ı,nın"
2,"lar,ı,nı"
0,"lar,ın"
0,"lar,ı,na"
0,"ları,nda"
0,"lar,ı,ndan"
0,"lar,ı,nın"
2,"lar,ı,nı"
0,"lar,ı"
2,ma
2,"lan,a"
2,"lan,Imp+ın"
2,lan
1,"er,im"
1,"er,sin"
1,er
1,"er,iz"
0,"er,siniz"
1,"er,ler"
1,"eceğ,im"
1,"ecek,sin"
1,ecek
1,"eceğ,iz"
1,"ecek,siniz"
1,"ecek,ler"
1,"iyor,um"
0,"iyor,sun"
1,iyor
1,"iyor,uz"
1,"iyor,sunuz"
1,"iyor,lar"
1,"di,m"
1,"di,n"
1,di
1,"di,k"
1,"di,niz"
1,"di,ler"
0,"iyor,du,m"
0,"iyor,du,n"
1,"iyor,du"
0,"iyor,du,k"
0,"iyor,du,nuz"
1,"iyor,lar,dı"
2,"me,m"
0,"me,z,sin"
2,"me,z"
1,"me,yiz"
0,"me,z,siniz"
0,"me,z,ler"
1,"m,iyor,um"
0,"m,iyor,sun"
1,"m,iyor"
1,"m,iyor,uz"
1,"m,iyor,sunuz"
1,"m,iyor,lar"
0,"me,di,m"
2,"me,di,n"
0,"me,di"
0,"me,di,k"
0,"me,di,niz"
0,"me,di,ler"
0,"m,iyor,du,m"
0,"m,iyor,du,n"
1,"m,iyor,du"
0,"m,iyor,du,k"
0,"m,iyor,du,nuz"
0,"m,iyor,du,lar"
0,"me,yeceğ,im"
2,"me,yecek,sin"
0,"me,yecek"
0,"me,yeceğ,iz"
0,"me,yecek,siniz"
0,"me,yecek,ler"
2,-
2,-
2,-
2,-
2,-
1,-
0,-
0,-
1,-
0,-
0,-
1,-
2,-
0,-
2,-
2,-
2,-
1,-
2,-
2,-
2,-
2,-
2,-
2,-
0,-
1,-
0,-
0,-
0,-
0,-
2,-
2,-
2,-
2,-
2,-
2,-
0,-
0,-
1,-
0,-
0,-
1,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
0,-
0,-
2,-
2,-
0,-
2,"um,a"
2,"um,da"
2,"um,dan"
2,"um,un"
2,"um,u"
2,um
2,"u,na"
2,"u,nda"
2,"u,ndan"
2,"u,nun"
2,"u,nu"
2,un
2,"u,na"
2,"u,nda"
2,"u,ndan"
2,"u,nun"
2,"u,nu"
2,u
2,"lar,ım,a"
2,"lar,ım,da"
2,"lar,ım,dan"
2,"lar,ım,ın"
2,"lar,ım,ı"
2,"lar,ım"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ın"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ı"
0,"ım,a"
0,"ım,da"
0,"ım,dan"
0,"ım,ın"
0,"ım,ı"
0,ım
0,"ı,na"
0,"ı,nda"
0,"ı,ndan"
0,"ı,nın"
0,"ı,nı"
0,ın
0,"ı,na"
0,"ı,nda"
0,"ı,ndan"
0,"ı,nın"
0,"ı,nı"
0,ı
0,"lar,ım,a"
0,"lar,ım,da"
0,"lar,ım,dan"
0,"lar,ım,ın"
0,"lar,ım,ı"
0,"lar,ım"
0,"lar,ı,na"
0,"ları,nda"
0,"lar,ı,ndan"
0,"lar,ı,nın"
0,"lar,ı,nı"
0,"lar,ın"
0,"lar,ı,na"
0,"ları,nda"
0,"lar,ı,ndan"
0,"lar,ı,nın"
0,"lar,ı,nı"
0,"lar,ı"
2,"im,e"
0,"im,de"
0,"im,den"
0,"im,in"
0,"im,i"
0,im
0,"i,ne"
0,"i,nde"
0,"i,nden"
0,"i,nin"
0,"i,ni"
0,in
0,"i,ne"
0,"i,nde"
0,"i,nden"
0,"i,nin"
0,"i,ni"
0,-
2,"ler,im,e"
2,"ler,im,de"
2,"ler,im,den"
2,"ler,im,in"
2,"ler,im,i"
2,"ler,im"
0,"ler,i,ne"
0,"leri,nde"
0,"ler,i,nden"
0,"ler,i,nin"
0,"ler,i,ni"
0,"ler,in"
0,"ler,i,ne"
0,"leri,nde"
0,"ler,i,nden"
0,"ler,i,nin"
0,"ler,i,ni"
0,"ler,i"
2,"m,a"
2,"m,da"
2,"m,dan"
2,"m,ın"
2,"m,ı"
2,m
2,"n,a"
2,"n,da"
2,"n,dan"
2,nın
2,"n,ı"
2,n
2,"sı,na"
2,"sı,nda"
2,"sı,ndan"
2,"sı,nın"
2,"sı,nı"
2,sı
2,"lar,ım,a"
2,"lar,ım,da"
2,"lar,ım,dan"
2,"lar,ım,ın"
2,"lar,ım,ı"
2,"lar,ım"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ın"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ı"
1,"er,im"
1,"er,sin"
1,er
1,"er,iz"
0,"er,siniz"
1,"er,ler"
1,"eceğ,im"
1,"ecek,sin"
1,ecek
1,"eceğ,iz"
1,"ecek,siniz"
1,"ecek,ler"
1,"iyor,um"
0,"iyor,sun"
1,iyor
1,"iyor,uz"
1,"iyor,sunuz"
1,"iyor,lar"
1,"di,m"
1,"di,n"
1,di
1,"di,k"
1,"di,niz"
1,"di,ler"
0,"iyor,du,m"
0,"iyor,du,n"
1,"iyor,du"
0,"iyor,du,k"
0,"iyor,du,nuz"
1,"iyor,lar,dı"
2,"me,m"
0,"me,z,sin"
2,"me,z"
1,"me,yiz"
0,"me,z,siniz"
0,"me,z,ler"
1,"m,iyor,um"
0,"m,iyor,sun"
1,"m,iyor"
1,"m,iyor,uz"
1,"m,iyor,sunuz"
1,"m,iyor,lar"
0,"me,di,m"
2,"me,di,n"
0,"me,di"
0,"me,di,k"
0,"me,di,niz"
0,"me,di,ler"
0,"m,iyor,du,m"
0,"m,iyor,du,n"
1,"m,iyor,du"
0,"m,iyor,du,k"
0,"m,iyor,du,nuz"
0,"m,iyor,du,lar"
0,"me,yeceğ,im"
2,"me,yecek,sin"
0,"me,yecek"
0,"me,yeceğ,iz"
0,"me,yecek,siniz"
0,"me,yecek,ler"
2,-
2,-
2,-
2,-
2,-
1,-
0,-
0,-
1,-
0,-
0,-
1,-
2,-
0,-
2,-
2,-
2,-
1,-
2,-
2,-
2,-
2,-
2,-
2,-
0,-
1,-
0,-
0,-
0,-
0,-
2,-
2,-
2,-
2,-
2,-
2,-
0,-
0,-
1,-
0,-
0,-
1,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
0,-
0,-
2,-
2,-
0,-
0,"um,a"
0,"um,da"
0,"um,dan"
0,"um,un"
0,"um,u"
0,um
0,"u,na"
0,"u,nda"
0,"u,ndan"
2,"u,nun"
0,"u,nu"
0,un
0,"u,na"
0,"u,nda"
0,"u,ndan"
2,"u,nun"
0,"u,nu"
2,-
0,"lar,ım,a"
0,"lar,ım,da"
2,"lar,ım,dan"
0,"lar,ım,ın"
0,"lar,ım,ı"
2,"lar,ım"
0,"lar,ı,na"
0,"ları,nda"
2,"lar,ı,ndan"
0,"lar,ı,nın"
0,"lar,ı,nı"
0,"lar,ın"
0,"lar,ı,na"
0,"ları,nda"
2,"lar,ı,ndan"
0,"lar,ı,nın"
0,"lar,ı,nı"
0,"lar,ı"
2,"m,a"
2,"m,da"
2,"m,dan"
2,"m,ın"
0,"m,ı"
2,m
2,-
2,da
2,dan
0,ın
2,ı
2,-
0,"sı,na"
0,"sı,nda"
0,"sı,ndan"
2,"sı,nın"
0,"sı,nı"
0,sı
0,"lar,ım,a"
0,"lar,ım,da"
0,"lar,ım,dan"
0,"lar,ım,ın"
0,"lar,ım,ı"
0,"lar,ım"
0,"lar,ı,na"
2,"ları,nda"
0,"lar,ı,ndan"
0,"lar,ı,nın"
0,"lar,ı,nı"
2,"lar,ın"
0,"lar,ı,na"
2,"ları,nda"
0,"lar,ı,ndan"
0,"lar,ı,nın"
0,"lar,ı,nı"
0,"lar,ı"
0,"um,a"
0,"um,da"
0,"um,dan"
0,"um,un"
0,"um,u"
0,um
0,"u,na"
0,"u,nda"
0,"u,ndan"
0,"u,nun"
0,"u,nu"
0,un
0,"u,na"
0,"u,nda"
0,"u,ndan"
0,"u,nun"
0,"u,nu"
0,u
0,"lar,ım,a"
0,"lar,ım,da"
0,"lar,ım,dan"
0,"lar,ım,ın"
0,"lar,ım,ı"
0,"lar,ım"
0,"lar,ı,na"
0,"ları,nda"
0,"lar,ı,ndan"
0,"lar,ı,nın"
0,"lar,ı,nı"
0,"lar,ın"
0,"lar,ı,na"
0,"ları,nda"
0,"lar,ı,ndan"
0,"lar,ı,nın"
0,"lar,ı,nı"
0,"lar,ı"
0,"um,a"
0,"um,da"
0,"um,dan"
0,"um,un"
0,"um,u"
0,um
0,"u,na"
0,"u,nda"
0,"u,ndan"
0,"u,nun"
0,"u,nu"
0,un
0,"u,na"
0,"u,nda"
0,"u,ndan"
0,"u,nun"
0,"u,nu"
0,u
0,"lar,ım,a"
0,"lar,ım,da"
0,"lar,ım,dan"
0,"lar,ım,ın"
0,"lar,ım,ı"
0,"lar,ım"
0,"lar,ı,na"
0,"ları,nda"
0,"lar,ı,ndan"
0,"lar,ı,nın"
0,"lar,ı,nı"
0,"lar,ın"
0,"lar,ı,na"
0,"ları,nda"
0,"lar,ı,ndan"
0,"lar,ı,nın"
0,"lar,ı,nı"
0,"lar,ı"
0,"m,a"
0,"m,da"
0,"m,dan"
0,"m,ın"
0,"m,ı"
0,m
2,"n,a"
0,"n,da"
2,"n,dan"
0,nın
2,"n,ı"
2,-
0,"sı,na"
0,"sı,nda"
0,"sı,ndan"
0,"sı,nın"
0,"sı,nı"
0,sı
0,"lar,ım,a"
0,"lar,ım,da"
0,"lar,ım,dan"
0,"lar,ım,ın"
0,"lar,ım,ı"
0,"lar,ım"
0,"lar,ı,na"
0,"ları,nda"
0,"lar,ı,ndan"
0,"lar,ı,nın"
0,"lar,ı,nı"
0,"lar,ın"
0,"lar,ı,na"
0,"ları,nda"
0,"lar,ı,ndan"
0,"lar,ı,nın"
0,"lar,ı,nı"
0,"lar,ı"
2,"sal,ım,a"
2,"sal,ım,da"
2,"sal,ım,dan"
2,"sal,ım,ın"
2,"sal,ım,ı"
2,"sal,Pres+ım"
2,"sal,ın,a"
2,"sal,ı,nda"
2,"sal,ın,dan"
2,"sal,ı,nın"
2,"sal,ı,nı"
2,"sal,ın"
2,"sal,ın,a"
2,"sal,ı,nda"
2,"sal,ın,dan"
2,"sal,ı,nın"
2,"sal,ı,nı"
2,"sal,ı"
0,"sal,lar,ım,a"
0,"sal,lar,ım,da"
0,"sal,lar,ım,dan"
0,"sal,lar,ım,ın"
0,"sal,lar,ım,ı"
0,"sal,lar,ım"
0,"sal,lar,ı,na"
0,"sal,lar,ı,nda"
0,"sal,lar,ı,ndan"
0,"sal,lar,ın,ın"
0,"sal,ları,nı"
0,"sal,lar,ın"
0,"sal,lar,ı,na"
0,"sal,lar,ı,nda"
0,"sal,lar,ı,ndan"
0,"sal,lar,ın,ın"
0,"sal,ları,nı"
0,"sal,ları"
2,e
0,de
2,"üm,den"
2,ün
2,ü
2,-
2,"ü,ne"
2,"ü,nde"
0,"ü,nden"
2,"ü,nün"
2,"ü,nü"
2,Imp+ün
2,"ü,ne"
2,"ü,nde"
0,"ü,nden"
2,"ü,nün"
2,"ü,nü"
0,"ü,nü"
2,"ler,im,e"
0,"ler,im,de"
0,"ler,im,den"
2,"ler,im,in"
2,"ler,im,i"
2,"ler,im"
0,"ler,i,ne"
0,"leri,nde"
0,"ler,i,nden"
2,"ler,i,nin"
2,"ler,i,ni"
2,"ler,in"
0,"ler,i,ne"
0,"leri,nde"
0,"ler,i,nden"
2,"ler,i,nin"
2,"ler,i,ni"
2,"ler,i"
2,"um,a"
2,"um,da"
2,"um,dan"
2,"um,un"
2,"um,u"
2,um
2,"u,na"
2,"u,nda"
2,"u,ndan"
2,"u,nun"
2,"u,nu"
2,nun
2,"u,na"
2,"u,nda"
2,"u,ndan"
2,"u,nun"
2,"u,nu"
2,"n,u"
2,"lar,ım,a"
2,"lar,ım,da"
2,"lar,ım,dan"
2,"lar,ım,ın"
2,"lar,ım,ı"
2,"lar,ım"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ın"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ı"
0,"ler,im,e"
0,"ler,im,de"
0,"ler,im,den"
1,"ler,im,in"
1,"ler,im,i"
1,"ler,im"
1,"ler,i,ne"
0,"leri,nde"
0,"ler,i,nden"
1,"ler,i,nin"
1,"ler,i,ni"
1,"ler,in"
1,"ler,i,ne"
0,"leri,nde"
0,"ler,i,nden"
1,"ler,i,nin"
1,"ler,i,ni"
1,"ler,i"
2,a
2,da
2,dan
2,ın
2,ı
2,-
0,a
0,da
0,dan
0,ın
0,ı
0,-
0,a
0,da
0,dan
0,ın
0,ı
0,ı
2,"lar,ım,a"
2,"lar,ım,da"
2,"lar,ım,dan"
2,"lar,ım,ın"
2,"lar,ım,ı"
0,"lar,ım"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ın"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ı"
0,"m,e"
0,"m,de"
0,"m,den"
0,"m,in"
0,"m,i"
0,m
0,"n,e"
0,"n,de"
0,"n,den"
0,nin
0,"n,i"
0,n
0,"si,ne"
0,"si,nde"
0,"si,nden"
0,"si,nin"
0,"si,ni"
0,si
0,"ler,im,e"
0,"ler,im,de"
0,"ler,im,den"
0,"ler,im,in"
0,"ler,im,i"
0,"ler,im"
0,"ler,i,ne"
0,"leri,nde"
0,"ler,i,nden"
0,"ler,i,nin"
0,"ler,i,ni"
0,"ler,in"
0,"ler,i,ne"
0,"leri,nde"
0,"ler,i,nden"
0,"ler,i,nin"
0,"ler,i,ni"
0,"ler,i"
1,"im,e"
1,"im,de"
1,"im,den"
1,"im,in"
1,"im,i"
2,im
2,"i,ne"
2,"i,nde"
2,"i,nden"
2,"i,nin"
2,"i,ni"
2,in
2,"i,ne"
2,"i,nde"
2,"i,nden"
2,"i,nin"
2,"i,ni"
2,i
0,"ler,im,e"
2,"ler,im,de"
0,"ler,im,den"
0,"ler,im,in"
2,"ler,im,i"
2,"ler,im"
2,"ler,i,ne"
2,"ler,i,nde"
1,"ler,i,nden"
0,"ler,in,in"
2,"leri,ni"
2,"ler,in"
2,"ler,i,ne"
2,"ler,i,nde"
1,"ler,i,nden"
0,"ler,in,in"
2,"leri,ni"
2,"ler,i"
2,a
2,da
2,"m,dan"
2,ın
2,"m,ı"
2,-
0,"n,a"
0,"n,da"
0,"n,dan"
2,nın
0,"n,ı"
0,Imp+ın
2,"sı,na"
2,"sı,nda"
2,"sı,ndan"
2,"sı,nın"
2,"sı,nı"
2,sı
2,"lar,ım,a"
2,"lar,ım,da"
0,"lar,ım,dan"
2,"lar,ım,ın"
0,"lar,ım,ı"
2,"lar,ım"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ın"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ı"
2,"ım,a"
2,"ım,da"
2,"ım,dan"
2,"ım,ın"
2,"ım,ı"
2,ım
2,"ı,na"
2,"ı,nda"
2,"ı,ndan"
2,"ı,nın"
2,"ı,nı"
2,ın
2,"ı,na"
2,"ı,nda"
2,"ı,ndan"
2,"ı,nın"
2,"ı,nı"
2,ı
2,"lar,ım,a"
2,"lar,ım,da"
2,"lar,ım,dan"
2,"lar,ım,ın"
2,"lar,ım,ı"
2,"lar,ım"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ın"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ı"
2,"r,ım"
2,"r,sın"
2,r
2,"yacağ,ım"
2,-
2,-
2,"dı,m"
2,-
2,-
2,"ıyor,um"
2,-
2,-
0,ma
0,a
0,Imp+ın
0,-
2,"m,a"
2,"m,da"
2,"m,dan"
2,"m,ın"
2,"m,ı"
2,m
2,"n,a"
2,"n,da"
2,"n,dan"
2,nın
2,"n,ı"
2,n
2,"sı,na"
2,"sı,nda"
2,"sı,ndan"
2,"sı,nın"
2,"sı,nı"
2,sı
2,"lar,ım,a"
2,"lar,ım,da"
2,"lar,ım,dan"
2,"lar,ım,ın"
2,"lar,ım,ı"
2,"lar,ım"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ın"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ı"
2,"m,a"
2,"m,da"
2,"m,dan"
2,"m,ın"
2,"m,ı"
2,m
2,"n,a"
2,"n,da"
2,"n,dan"
2,nın
2,"n,ı"
2,n
2,"sı,na"
2,"sı,nda"
2,"sı,ndan"
2,"sı,nın"
2,"sı,nı"
2,sı
2,"lar,ım,a"
2,"lar,ım,da"
2,"lar,ım,dan"
2,"lar,ım,ın"
2,"lar,ım,ı"
2,"lar,ım"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ın"
2,"lar,ı,na"
2,"ları,nda"
2,"lar,ı,ndan"
2,"lar,ı,nın"
2,"lar,ı,nı"
2,"lar,ı"
2,a
2,da
2,"ım,dan"
2,ın
2,ı
2,-
1,ın
2,"ır,ım"
2,"ır,sın"
2,ır
2,"ır,ız"
2,"ır,sınız"
2,"ır,lar"
2,"acağ,ım"
2,"acak,sın"
2,acak
2,"acağ,ız"
2,"acak,sınız"
2,"acak,lar"
2,"ıyor,um"
2,"ıyor,sun"
2,ıyor
2,"ıyor,uz"
2,"ıyor,sunuz"
2,"ıyor,lar"
2,"tı,m"
2,"tı,n"
2,tı
2,"tı,k"
2,"tı,nız"
2,"tı,lar"
2,"ıyor,du,m"
2,"ıyor,du,n"
2,"ıyor,du"
2,"ıyor,du,k"
2,"ıyor,du,nuz"
2,"ıyor,lar,dı"
2,"ma,m"
2,"ma,z,sın"
2,"ma,z"
2,"ma,yız"
2,"ma,z,sınız"
2,"ma,z,lar"
2,"m,ıyor,um"
2,"m,ıyor,sun"
2,"m,ıyor"
2,"m,ıyor,uz"
2,"m,ıyor,sunuz"
2,"m,ıyor,lar"
2,"ma,dı,m"
2,"ma,dı,n"
2,"ma,dı"
2,"ma,dı,k"
2,"ma,dı,nız"
2,"ma,dı,lar"
2,"m,ıyor,du,m"
2,"m,ıyor,du,n"
2,"m,ıyor,du"
2,"m,ıyor,du,k"
2,"m,ıyor,du,nuz"
2,"m,ıyor,du,lar"
2,"ma,yacağ,ım"
2,"ma,yacak,sın"
2,"ma,yacak"
2,"ma,yacağ,ız"
0,"ma,yacak,sınız"
2,"ma,yacak,lar"
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
0,"ir,im"
0,"ir,sin"
2,-
0,"ir,iz"
0,"ir,siniz"
2,ler
0,"eceğ,im"
0,"ecek,sin"
2,ecek
0,"eceğ,iz"
0,"ecek,siniz"
2,ler
0,"iyor,um"
0,"iyor,sun"
0,iyor
0,"iyor,uz"
0,"iyor,sunuz"
0,"iyor,lar"
0,"di,m"
0,"di,n"
0,di
0,"di,k"
0,"di,niz"
0,"di,ler"
0,"iyor,du,m"
0,"iyor,du,n"
0,"iyor,du"
0,"iyor,du,k"
0,"iyor,du,nuz"
0,"iyor,lar,dı"
0,"me,m"
0,"me,z,sin"
0,"me,z"
0,"me,yiz"
0,"me,z,siniz"
0,"me,z,ler"
0,"m,iyor,um"
0,"m,iyor,sun"
0,"m,iyor"
0,"m,iyor,uz"
